iter	Logloss
0	0.6525012821
1	0.6161290424
2	0.5841391665
3	0.5557495594
4	0.5309329382
5	0.5084811282
6	0.4891559763
7	0.4716769765
8	0.4563750034
9	0.442633465
10	0.4306093394
11	0.4198936334
12	0.4105971523
13	0.4021716668
14	0.3947361475
15	0.3881458235
16	0.3821986871
17	0.3769283637
18	0.3722200523
19	0.3676503919
20	0.3635740859
21	0.359961784
22	0.3565852107
23	0.3537297394
24	0.3509714526
25	0.3485852896
26	0.3466025685
27	0.3447077222
28	0.3430097317
29	0.3415254617
30	0.3401575694
31	0.339032213
32	0.3380314435
33	0.336995113
34	0.33612699
35	0.3354307159
36	0.3347896533
37	0.3340056502
38	0.3333040118
39	0.3327903574
40	0.3323413269
41	0.3318748286
42	0.3314078111
43	0.3309316805
44	0.3305951606
45	0.3302445752
46	0.3299125323
47	0.3296462849
48	0.3293783294
49	0.3291392424
50	0.3288931153
51	0.3286446966
52	0.3284782282
53	0.3282996679
54	0.3281856884
55	0.3280398238
56	0.3279110344
57	0.3277671115
58	0.3276750175
59	0.3275758135
60	0.3274204169
61	0.3273077966
62	0.32723465
63	0.3271182513
64	0.3270143274
65	0.326923492
66	0.3268454201
67	0.3267772784
68	0.326742463
69	0.326695539
70	0.3266237061
71	0.3265658678
72	0.3264728914
73	0.326392264
74	0.3263188831
75	0.3262398069
76	0.3261535605
77	0.326106421
78	0.3260509519
79	0.3260072087
80	0.3259777165
81	0.3259178857
82	0.3258918382
83	0.3258679901
84	0.3258263677
85	0.3258063855
86	0.3257633071
87	0.325734281
88	0.3256975921
89	0.3256344921
90	0.3256015414
91	0.3255329219
92	0.32547326
93	0.3254562689
94	0.3254278203
95	0.3253725799
96	0.3253170404
97	0.3252595379
98	0.3252388649
99	0.3252159291
100	0.3251647728
101	0.3251163735
102	0.3250947076
103	0.3250789925
104	0.3250386002
105	0.3250245224
106	0.3250157863
107	0.3250002219
108	0.3249788533
109	0.3249703173
110	0.3249488141
111	0.3249059756
112	0.3248766531
113	0.3248297064
114	0.3248115737
115	0.3247656863
116	0.3247210078
117	0.3246508941
118	0.3246356314
119	0.324597711
120	0.3245839512
121	0.3245721326
122	0.3245344835
123	0.324498791
124	0.3244676522
125	0.3244315705
126	0.3243830612
127	0.3243502035
128	0.3243321571
129	0.3243232268
130	0.3243012014
131	0.3242688585
132	0.3242392628
133	0.3241901694
134	0.3241657993
135	0.3241465044
136	0.3241165049
137	0.3240898493
138	0.3240620775
139	0.3240379869
140	0.3240251492
141	0.3239939842
142	0.3239819266
143	0.3239774236
144	0.3239386345
145	0.3239142296
146	0.32388008
147	0.3238521776
148	0.3238413351
149	0.3238238474
150	0.3238044207
151	0.3237783664
152	0.3237713822
153	0.3237389
154	0.3237225352
155	0.3237095652
156	0.3236894898
157	0.323664135
158	0.323654694
159	0.3236479782
160	0.3236271157
161	0.3236125194
162	0.3235981839
163	0.3235749834
164	0.3235575681
165	0.3235292576
166	0.3235142102
167	0.3234902657
168	0.3234610892
169	0.3234525888
170	0.3234254215
171	0.3234060777
172	0.3233870316
173	0.3233705885
174	0.3233550821
175	0.3233318558
176	0.3233097161
177	0.3232946292
178	0.3232746551
179	0.3232576288
180	0.3232408034
181	0.3232259611
182	0.3232060685
183	0.3231887131
184	0.3231743674
185	0.3231614173
186	0.3231374967
187	0.323118727
188	0.3230952599
189	0.3230791776
190	0.3230632718
191	0.3230576165
192	0.3230388517
193	0.3230330122
194	0.3230250249
195	0.3230075896
196	0.3229849975
197	0.322968718
198	0.322952194
199	0.3229328011
200	0.3229265156
201	0.3229109564
202	0.3228996182
203	0.3228916859
204	0.3228768198
205	0.322856941
206	0.3228321666
207	0.3228204096
208	0.3228117954
209	0.3227931756
210	0.322786635
211	0.322767808
212	0.3227557454
213	0.3227430681
214	0.3227400714
215	0.3227245377
216	0.3227087402
217	0.3226962527
218	0.3226787821
219	0.3226609982
220	0.3226499908
221	0.3226306589
222	0.322627175
223	0.3226117718
224	0.3226046933
225	0.3225885887
226	0.3225767816
227	0.3225642245
228	0.3225447969
229	0.3225384232
230	0.3225246803
231	0.3225117851
232	0.3225030615
233	0.3224910792
234	0.3224717973
235	0.3224604988
236	0.3224447272
237	0.3224398867
238	0.3224252254
239	0.3224096323
240	0.3223939662
241	0.3223835716
242	0.3223701484
243	0.322349069
244	0.3223299598
245	0.3223095826
246	0.3222929488
247	0.3222790559
248	0.3222547857
249	0.3222427789
250	0.3222355457
251	0.3222291117
252	0.3222145838
253	0.3222074026
254	0.3221897907
255	0.3221769908
256	0.3221623025
257	0.3221552098
258	0.3221491069
259	0.3221339073
260	0.3221324253
261	0.3221249385
262	0.3221108558
263	0.3221042437
264	0.3220919458
265	0.3220713989
266	0.3220549137
267	0.3220409085
268	0.3220314663
269	0.3220280314
270	0.3220197978
271	0.3220002124
272	0.3219892961
273	0.3219728533
274	0.3219558773
275	0.3219524892
276	0.3219372585
277	0.3219278318
278	0.3219149557
279	0.3218973499
280	0.3218828588
281	0.321875007
282	0.3218701048
283	0.3218575029
284	0.3218513728
285	0.3218445577
286	0.3218347002
287	0.3218292666
288	0.3218186494
289	0.3218098407
290	0.321799111
291	0.3217875167
292	0.3217753495
293	0.3217632314
294	0.3217486708
295	0.321726847
296	0.3217218148
297	0.3217134223
298	0.3217051511
299	0.3217022774
300	0.321687473
301	0.3216743758
302	0.3216698293
303	0.3216526123
304	0.3216434125
305	0.3216247275
306	0.3216128371
307	0.3215970443
308	0.3215846844
309	0.3215686806
310	0.321558303
311	0.3215528454
312	0.3215365796
313	0.321533753
314	0.3215289782
315	0.3215133158
316	0.3214934626
317	0.3214800861
318	0.321459213
319	0.321452324
320	0.3214478223
321	0.3214362528
322	0.3214271047
323	0.3214151371
324	0.3213988815
325	0.3213910472
326	0.3213762764
327	0.3213706192
328	0.3213571651
329	0.321351349
330	0.3213420112
331	0.321320077
332	0.3213068662
333	0.3213004395
334	0.3212896474
335	0.3212607944
336	0.3212506889
337	0.3212438735
338	0.3212334036
339	0.321227342
340	0.3212181266
341	0.3212021053
342	0.3211858352
343	0.3211750853
344	0.3211505646
345	0.3211417548
346	0.3211309167
347	0.321117981
348	0.3211146001
349	0.3211019206
350	0.3210899138
351	0.3210848451
352	0.3210759829
353	0.3210643268
354	0.3210499026
355	0.3210316572
356	0.3210148642
357	0.3210011256
358	0.3209968082
359	0.3209898114
360	0.320961071
361	0.3209487645
362	0.3209353296
363	0.3209209504
364	0.3209148956
365	0.3209122649
366	0.3208951929
367	0.3208897253
368	0.3208602547
369	0.3208406513
370	0.320833786
371	0.3208160053
372	0.3208115345
373	0.3207987951
374	0.320778044
375	0.3207753845
376	0.3207551995
377	0.3207515103
378	0.3207376767
379	0.3207291133
380	0.3206994962
381	0.3206943421
382	0.3206820381
383	0.3206552669
384	0.3206509764
385	0.3206399569
386	0.3206301819
387	0.3206237962
388	0.320618654
389	0.3206088768
390	0.3206020503
391	0.3205846415
392	0.320574971
393	0.3205669762
394	0.3205543043
395	0.3205432582
396	0.3205266055
397	0.3205178584
398	0.3205134025
399	0.3204954587
400	0.3204884753
401	0.3204703041
402	0.3204604039
403	0.3204532837
404	0.3204465578
405	0.3204325096
406	0.3204242996
407	0.3204196078
408	0.3204042891
409	0.3203944937
410	0.3203762561
411	0.3203718187
412	0.3203670843
413	0.3203512712
414	0.3203360496
415	0.3203301998
416	0.3203214682
417	0.3203024842
418	0.3203004012
419	0.3202887342
420	0.3202824541
421	0.3202668905
422	0.3202544744
423	0.3202474032
424	0.3202414212
425	0.3202281722
426	0.320224534
427	0.3202152424
428	0.3202014148
429	0.3201867269
430	0.3201751898
431	0.320167487
432	0.3201648102
433	0.3201574981
434	0.3201525639
435	0.3201304543
436	0.3201228897
437	0.3201130209
438	0.3201044101
439	0.3200983428
440	0.3200804963
441	0.3200744459
442	0.3200656975
443	0.320035217
444	0.3200284391
445	0.3200193455
446	0.3200152404
447	0.3200128382
448	0.3200051929
449	0.3199990086
450	0.3199948977
451	0.3199713028
452	0.3199634545
453	0.3199551936
454	0.3199520229
455	0.3199417402
456	0.3199318846
457	0.3199244071
458	0.3199167854
459	0.31991126
460	0.3199035825
461	0.3198875063
462	0.3198826229
463	0.3198787209
464	0.3198700185
465	0.3198669131
466	0.3198614434
467	0.3198450849
468	0.3198381709
469	0.3198263685
470	0.3197963102
471	0.3197892894
472	0.3197736366
473	0.3197657906
474	0.3197599985
475	0.3197513435
476	0.319749641
477	0.3197401542
478	0.3197244347
479	0.3197141436
480	0.319709321
481	0.3197009159
482	0.3196950664
483	0.3196876504
484	0.319685131
485	0.3196810795
486	0.3196739713
487	0.3196707192
488	0.3196484909
489	0.3196265166
490	0.3196172118
491	0.3196141256
492	0.3196082956
493	0.3196002189
494	0.31959738
495	0.3195889021
496	0.3195778921
497	0.3195725014
498	0.3195659463
499	0.3195580269
