iter	Passed	Remaining
0	3948	1970364
1	6253	1557155
2	8801	1458151
3	10901	1351765
4	12973	1284404
5	14849	1222570
6	16426	1156926
7	18802	1156379
8	20973	1144239
9	23002	1127142
10	25269	1123348
11	27229	1107315
12	29439	1102831
13	31900	1107394
14	34400	1112283
15	36712	1110563
16	38452	1092494
17	40261	1078101
18	41975	1062633
19	44216	1061184
20	46019	1049690
21	48165	1046503
22	49985	1036648
23	51726	1025912
24	53767	1021578
25	55420	1010350
26	57045	999357
27	58676	989125
28	60390	980830
29	62251	975266
30	64192	971170
31	65705	960935
32	67520	955519
33	69663	954806
34	71504	949985
35	72227	930932
36	73998	925978
37	75920	923036
38	77972	921678
39	79927	919165
40	81808	915859
41	83683	912548
42	85723	911063
43	87603	907892
44	89567	905628
45	91620	904251
46	93728	903378
47	95673	900925
48	98358	905298
49	100577	905197
50	106932	941421
51	109004	939115
52	111054	936633
53	112928	932709
54	114869	929395
55	121543	963667
56	125484	975259
57	131329	1000821
58	133435	997374
59	137453	1007989
60	139342	1002811
61	141364	998675
62	143188	993229
63	145166	988943
64	147084	984331
65	148788	978397
66	150280	971214
67	152147	966582
68	153871	961139
69	155729	956622
70	157234	950050
71	159021	945291
72	161021	941866
73	163123	939061
74	170851	968160
75	172965	964963
76	174841	960491
77	176595	955425
78	178565	951598
79	180289	946519
80	181876	940818
81	183818	937024
82	185197	930451
83	186847	925337
84	188828	921927
85	190423	916687
86	192432	913503
87	194181	909120
88	195738	903913
89	197568	900035
90	199345	895959
91	201165	892125
92	202998	888392
93	204664	883977
94	206165	878914
95	207910	874957
96	209938	872217
97	211763	868661
98	213415	864439
99	215274	861098
100	217408	858872
101	219299	855696
102	221297	852962
103	223074	849398
104	225030	846542
105	226592	842238
106	228096	837775
107	229767	833969
108	231319	829780
109	232956	825937
110	234428	821556
111	236420	819027
112	238406	816490
113	240362	813858
114	242173	810756
115	243814	807111
116	245813	804672
117	247691	801850
118	249346	798328
119	251211	795504
120	253167	792979
121	254590	788814
122	256738	786913
123	258375	783462
124	260461	781383
125	262339	778689
126	264013	775408
127	266024	773133
128	267487	769286
129	269389	766723
130	271382	764428
131	273268	761839
132	275145	759236
133	277147	756986
134	279008	754357
135	280964	751991
136	282967	749759
137	284625	746625
138	286341	743664
139	288071	740754
140	289800	737860
141	291889	735891
142	293457	732617
143	295196	729792
144	297223	727684
145	299194	725443
146	301306	723546
147	303307	721380
148	304605	717560
149	307001	716336
150	309208	714661
151	310783	711530
152	312821	709470
153	314766	707202
154	316964	705501
155	318976	703383
156	320617	700457
157	322686	698473
158	324500	695941
159	326403	693607
160	328266	691195
161	330269	689079
162	331989	686383
163	334024	684342
164	335792	681760
165	337905	679882
166	339731	677429
167	341690	675246
168	343477	672727
169	345460	670599
170	347630	668833
171	349361	666223
172	351181	663794
173	352779	660955
174	354737	658797
175	356802	656841
176	358791	654742
177	360372	651908
178	362329	649764
179	364132	647347
180	365879	644837
181	367866	642756
182	369536	640125
183	371585	638157
184	373454	635881
185	375485	633884
186	377518	631889
187	379210	629327
188	381229	627314
189	383057	624987
190	384922	622728
191	386482	619981
192	388199	617498
193	390337	615686
194	392233	613493
195	394248	611487
196	396303	609543
197	398243	607422
198	400219	605356
199	401955	602933
200	404124	601161
201	406077	599065
202	408135	597123
203	409991	594889
204	412072	592982
205	414014	590875
206	415942	588750
207	417967	586762
208	419857	584586
209	421964	582712
210	423967	580694
211	425857	578522
212	427683	576269
213	429677	574241
214	431307	571733
215	433149	569510
216	435065	567389
217	436913	565181
218	438980	563258
219	440892	561136
220	442548	558692
221	444310	556389
222	446339	554421
223	448300	552369
224	450419	550512
225	452651	548789
226	454895	547077
227	456603	544719
228	458592	542700
229	460429	540504
230	462494	538575
231	464265	536307
232	466566	534648
233	468508	532577
234	470269	530304
235	472030	528034
236	474070	526077
237	476139	524153
238	478139	522152
239	480068	520074
240	481744	517725
241	483618	515593
242	485669	513650
243	487739	511726
244	489620	509605
245	491373	507352
246	493223	505204
247	495003	502987
248	497083	501075
249	499195	499195
250	501299	497305
251	503104	495118
252	505119	493139
253	506838	490875
254	508867	488912
255	510682	486743
256	512847	484910
257	514884	482953
258	516740	480827
259	518606	478713
260	520540	476663
261	522462	474603
262	524362	472524
263	526077	470281
264	527725	467982
265	529747	466018
266	531721	464011
267	533420	461766
268	535152	459555
269	537088	457519
270	538856	455343
271	540694	453229
272	542535	451119
273	544463	449082
274	546481	447120
275	548116	444847
276	549910	442707
277	551776	440627
278	553465	438408
279	555310	436315
280	556889	434017
281	558904	432060
282	560530	429805
283	562535	427844
284	564234	425650
285	566112	423594
286	568089	421613
287	570015	419594
288	571673	417381
289	573211	415084
290	575091	413037
291	576962	410987
292	578761	408886
293	580794	406951
294	582736	404952
295	584505	402834
296	586455	400843
297	588146	398676
298	589813	396496
299	591637	394425
300	593431	392334
301	595053	390134
302	596846	388048
303	598761	386043
304	600624	384005
305	602306	381854
306	604000	379713
307	605868	377684
308	607589	375564
309	609389	373496
310	611078	371362
311	612924	369326
312	614995	367425
313	617272	365645
314	619221	363669
315	621234	361731
316	623136	359728
317	624744	357557
318	626721	355600
319	628615	353596
320	630385	351523
321	632109	349427
322	634084	347470
323	635988	345475
324	637977	343526
325	639865	341523
326	641829	339561
327	643469	337429
328	645450	335477
329	647585	333604
330	649543	331640
331	651501	329675
332	653404	327683
333	654995	325536
334	657012	323603
335	659158	321731
336	660819	319625
337	662747	317648
338	664398	315540
339	665990	313407
340	667835	311395
341	669777	309429
342	671813	307506
343	673791	305556
344	675920	303674
345	677643	301609
346	679715	299701
347	681326	297590
348	683012	295515
349	685074	293603
350	687040	291649
351	688645	289544
352	690479	287536
353	692379	285557
354	694249	283566
355	696355	281671
356	698028	279602
357	699904	277615
358	702059	275739
359	704257	273877
360	706328	271965
361	708322	270023
362	710377	268103
363	712015	266027
364	713925	264054
365	716013	262147
366	717845	260145
367	719486	258076
368	721606	256180
369	723527	254212
370	725162	252145
371	726874	250107
372	729100	248246
373	730966	246261
374	732839	244279
375	734595	242260
376	736640	240336
377	738298	238286
378	739939	236233
379	741986	234311
380	744084	232404
381	745974	230431
382	747903	228471
383	749704	226473
384	751486	224469
385	753191	222445
386	755129	220490
387	757010	218518
388	759187	216631
389	761115	214673
390	763149	212744
391	765102	210793
392	767176	208875
393	768878	206855
394	770877	204916
395	772865	202974
396	774916	201048
397	776557	199017
398	778739	197124
399	780734	195183
400	782686	193231
401	784809	191321
402	786503	189307
403	788257	187308
404	789881	185280
405	791962	183360
406	793851	181396
407	795487	179374
408	797487	177436
409	799343	175465
410	801435	173546
411	803315	171581
412	805031	169583
413	806954	167628
414	808995	165697
415	810805	163720
416	812699	161760
417	814670	159815
418	816615	157865
419	818488	155902
420	820352	153937
421	822300	151989
422	824117	150016
423	826399	148128
424	828188	146150
425	830040	144185
426	831820	142208
427	833654	140240
428	835459	138269
429	837166	136282
430	839168	134344
431	841426	132446
432	843187	130470
433	845179	128529
434	846965	126558
435	848934	124614
436	850765	122650
437	852869	120725
438	854954	118797
439	856865	116845
440	858857	114903
441	860643	112935
442	862439	110968
443	864646	109054
444	866431	107087
445	868352	105136
446	870310	103191
447	872097	101225
448	873987	99272
449	875737	97304
450	877710	95361
451	879501	93398
452	881311	91438
453	883188	89486
454	885108	87538
455	887037	85591
456	888919	83640
457	890684	81678
458	892429	79715
459	894264	77762
460	896013	75801
461	897968	73858
462	899965	71919
463	901857	69971
464	903523	68007
465	905493	66066
466	907602	64134
467	909653	62198
468	911524	60250
469	913438	58304
470	915793	56386
471	917820	54446
472	919524	52488
473	921726	50558
474	923431	48601
475	925329	46655
476	927238	44709
477	929197	42766
478	931225	40826
479	932853	38868
480	934945	36931
481	936886	34987
482	938978	33048
483	940919	31104
484	943057	29166
485	945007	27222
486	947148	25283
487	949449	23347
488	951235	21397
489	953135	19451
490	955166	17508
491	956974	15560
492	958571	13610
493	960155	11661
494	962033	9717
495	963973	7773
496	965977	5830
497	967682	3886
498	969666	1943
499	971457	0
