iter	Logloss
0	0.6148225509
1	0.5539204188
2	0.5063379659
3	0.4692096865
4	0.4406387872
5	0.4183190513
6	0.4009621368
7	0.3871069337
8	0.3764118481
9	0.368051801
10	0.3611506699
11	0.3556154565
12	0.3512745938
13	0.3479662123
14	0.345359081
15	0.3426270202
16	0.34039242
17	0.3385725247
18	0.3371467672
19	0.3360178592
20	0.3350252558
21	0.3343133655
22	0.3336559729
23	0.3330774562
24	0.3324729716
25	0.3321228801
26	0.3317566757
27	0.3315364342
28	0.3312819472
29	0.3311057918
30	0.3306942075
31	0.3302877253
32	0.3300684178
33	0.3298206201
34	0.3297207249
35	0.3296295003
36	0.3293763608
37	0.3292502072
38	0.3291380267
39	0.3290116099
40	0.3287713924
41	0.3285471766
42	0.3284688629
43	0.3284249887
44	0.3282456021
45	0.3280461844
46	0.3279099104
47	0.3278191624
48	0.3276922995
49	0.3276326615
50	0.3275246179
51	0.3274803505
52	0.3274441442
53	0.3274005359
54	0.3273106206
55	0.3271513362
56	0.3270472073
57	0.3270132802
58	0.3269372167
59	0.3268641586
60	0.3268419131
61	0.3268178872
62	0.3267694494
63	0.3266890876
64	0.3266537725
65	0.3266386731
66	0.3265451014
67	0.3264790197
68	0.3264546884
69	0.3264401619
70	0.3263773984
71	0.3262816242
72	0.326204419
73	0.3261505831
74	0.3261081952
75	0.3260969324
76	0.3260512118
77	0.3260346093
78	0.3260195277
79	0.3259532676
80	0.3258886578
81	0.3258435853
82	0.3258354198
83	0.325781284
84	0.3257695868
85	0.3257402998
86	0.3257115654
87	0.3256888711
88	0.3256452477
89	0.3255991451
90	0.3255603872
91	0.325530479
92	0.3255000783
93	0.325468813
94	0.3254412539
95	0.3254201171
96	0.325392085
97	0.3253525413
98	0.3253338721
99	0.3253234379
100	0.3252918891
101	0.3252694951
102	0.3252566586
103	0.3252254953
104	0.3252039975
105	0.3251984159
106	0.3251822553
107	0.3251588748
108	0.3251387049
109	0.3251253801
110	0.3251185235
111	0.3250964698
112	0.3250817565
113	0.3250780561
114	0.3250621106
115	0.3250542839
116	0.3250362029
117	0.3250082944
118	0.3249966515
119	0.3249847467
120	0.3249663796
121	0.3249453042
122	0.3249249764
123	0.32490866
124	0.3248963873
125	0.3248732582
126	0.3248661384
127	0.3248476019
128	0.3248355555
129	0.3248312051
130	0.3248132472
131	0.3248014119
132	0.3247785144
133	0.3247553019
134	0.3247469956
135	0.32472918
136	0.3247192512
137	0.3247020638
138	0.3246886319
139	0.3246790075
140	0.32467339
141	0.3246592369
142	0.3246455877
143	0.3246244368
144	0.3246127668
145	0.3246038154
146	0.3245953236
147	0.3245775665
148	0.3245592924
149	0.3245470129
150	0.3245384985
151	0.3245231554
152	0.3245156043
153	0.3245122664
154	0.3245017257
155	0.324489472
156	0.3244769308
157	0.3244697543
158	0.3244556654
159	0.3244389981
160	0.3244287289
161	0.3244207325
162	0.3244045447
163	0.3243927782
164	0.3243841036
165	0.3243788124
166	0.3243655404
167	0.324351976
168	0.3243375423
169	0.3243232108
170	0.3243069961
171	0.3242947606
172	0.324277896
173	0.3242578604
174	0.3242439585
175	0.3242279845
176	0.3242206337
177	0.3242069582
178	0.3242016484
179	0.32419585
180	0.3241841518
181	0.3241698597
182	0.3241601983
183	0.3241520788
184	0.3241382095
185	0.3241336595
186	0.3241290324
187	0.3241154061
188	0.3241104263
