iter	Passed	Remaining
0	1745	870971
1	3216	800916
2	4488	743584
3	5933	735741
4	7517	744235
5	8758	721126
6	10354	729283
7	12087	743366
8	14051	766579
9	17249	845240
10	22644	1006668
11	24399	992261
12	25995	973817
13	27532	955787
14	28909	934724
15	30333	917576
16	31547	896314
17	32837	879308
18	33935	859093
19	35084	842039
20	36319	828426
21	38094	827690
22	39507	819341
23	40852	810246
24	42328	804238
25	43511	793240
26	44585	781069
27	45528	767483
28	46537	755836
29	47701	747324
30	49027	741739
31	50104	732775
32	51371	726988
33	52886	724855
34	54186	719906
35	55423	714343
36	56665	709082
37	57780	702486
38	58975	697116
39	60156	691804
40	61780	691640
41	63158	688730
42	64106	681317
43	65231	676036
44	66829	675719
45	68149	672601
46	69494	669807
47	70776	666478
48	72235	664858
49	73459	661136
50	74923	659618
51	75980	654603
52	76909	648651
53	78324	646904
54	79724	645047
55	81093	642956
56	82896	644264
57	84194	641617
58	85228	637046
59	86414	633703
60	87605	630470
61	88630	626130
62	89878	623441
63	91288	621903
64	92448	618696
65	93858	617187
66	94972	613779
67	96131	610715
68	97757	610629
69	98724	606449
70	100065	604619
71	101444	603028
72	102671	600558
73	103945	598391
74	105140	595796
75	106391	593552
76	107667	591472
77	108835	588828
78	110203	587286
79	111349	584585
80	113057	584830
81	114239	582344
82	115264	579098
83	116390	576409
84	117626	574296
85	118815	571973
86	120146	570350
87	121393	568344
88	122695	566606
89	123919	564522
90	125278	563066
91	126446	560760
92	128070	560480
93	129411	558948
94	130423	556016
95	131607	553848
96	132999	552566
97	134298	550898
98	135501	548849
99	136697	546789
100	137830	544497
101	139005	542394
102	140442	541318
103	141602	539179
104	143156	538539
105	144127	535720
106	145455	534242
107	146820	532905
108	148100	531259
109	149483	529988
110	150811	528519
111	152103	526928
112	153380	525292
113	154631	523576
114	156007	522284
115	157654	521892
116	158958	520350
117	160207	518637
118	161321	516501
119	162492	514561
120	163673	512664
121	164877	510849
122	166097	509094
123	167387	507562
124	168690	506072
125	170113	504940
126	171329	503195
127	173151	503220
128	174314	501324
129	175434	499314
130	176723	497794
131	178012	496276
132	179414	495075
133	180798	493821
134	182112	492378
135	183547	491260
136	184582	489075
137	186004	487925
138	187648	487346
139	189065	486167
140	190540	485135
141	191925	483869
142	193191	482303
143	194534	480932
144	195739	479225
145	197032	477735
146	198429	476500
147	199753	475089
148	201067	473656
149	202553	472625
150	203862	471178
151	205068	469498
152	206213	467686
153	207548	466311
154	208825	464805
155	210048	463183
156	211497	462061
157	212602	460189
158	213899	458741
159	215179	457255
160	216542	455950
161	217929	454693
162	219208	453211
163	220471	451698
164	221728	450175
165	223050	448789
166	224338	447333
167	225713	446052
168	226969	444537
169	228081	442746
170	229266	441103
171	230564	439682
172	231976	438476
173	233344	437186
174	234449	435406
175	235625	433764
176	236769	432070
177	238084	430691
178	239293	429123
179	240606	427744
180	241895	426324
181	243334	425166
182	244721	423916
183	245977	422440
184	247816	421957
185	249115	420549
186	250232	418837
187	251643	417621
188	252813	416004
189	254541	415304
190	255858	413928
191	257372	412867
192	258734	411561
193	260181	410389
194	261595	409162
195	263385	408515
196	264805	407290
197	265916	405589
198	267267	404258
199	268638	402957
200	269753	401274
201	271091	399926
202	272280	398361
203	273574	396951
204	274733	395347
205	276001	393905
206	277536	392841
207	278923	391566
208	280117	390020
209	281383	388577
